id,key,name,owner,controller,cores,region,continent,population_m,tax_income,production_income,trade_income,urbanization,culture,religion,ideology,terrain,climate,is_coastal,has_port,infrastructure,industry,development,trade_node,trade_power,resource,resource_output,unrest,autonomy,buildings,modifiers,neighbors
325,chn_guangdong_materials,Guangdong,CHN,CHN,CHN,southern_china,asia,98.0,9,19,18,90,han,chinese_folk,state_capitalist,urban,subtropical,1,1,94,94,88,south_china_trade,126,construction_materials,91,7,7,cement_plants|steel_yards|industrial_ports,infrastructure_supply:1.3,324
326,che_basel,Basel,CHE,CHE,CHE,northern_switzerland,europe,0.8,14,23,20,98,swiss,christian,democratic,urban,temperate,0,0,99,96,99,europe_trade,148,pharmaceuticals,97,2,1,pharma_labs|research_centers|financial_services,life_sciences:1.55,321
327,bra_mato_grosso,Mato Grosso,BRA,BRA,BRA,central_brazil,south_america,3.7,5,9,7,58,brazilian,christian,democratic,savanna,tropical,0,0,60,42,56,atlantic_trade,68,livestock,89,6,8,ranches|meat_processing|rail_corridors,agro_exports:1.25,328
328,usa_kansas,Kansas,USA,USA,USA,great_plains,north_america,2.9,5,8,7,64,american,christian,democratic,plains,continental,0,0,68,46,60,midwest_trade,66,grain,92,4,4,farms|grain_silos|railways,breadbasket:1.2,327
329,fra_paris_luxury,Paris Region,FRA,FRA,FRA,northern_france,europe,12.3,14,20,22,99,french,christian,democratic,urban,temperate,0,0,98,90,98,europe_trade,150,luxury_goods,93,9,3,fashion_houses|luxury_brands|financial_district,luxury_exports:1.5,330
330,ind_bangalore,Bangalore,IND,IND,IND,southern_india,asia,14.0,9,17,19,90,indian,hindu,democratic,plateau,tropical,0,0,88,91,90,indian_ocean_trade,128,software_ai,88,7,6,software_parks|tech_universities|startup_hubs,digital_exports:1.4,329
331,jpn_tokyo,Tokyo Region,JPN,JPN,JPN,central_japan,asia,37.0,18,24,28,100,japanese,shinto,democratic,urban,temperate,1,1,100,98,100,japan_trade,175,consumer_goods,95,7,2,mega_city|financial_center|container_port,global_megacity:1.5,332
332,kor_seoul,Seoul Capital Area,KOR,KOR,KOR,northwest_korea,asia,25.0,16,23,24,100,korean,christian,democratic,urban,temperate,1,1,99,97,99,korea_trade,168,electronics,96,6,3,electronics_hubs|tech_parks|mega_port,tech_exports:1.5,331
333,vnm_ho_chi_minh,Ho Chi Minh City,VNM,VNM,VNM,southern_vietnam,asia,9.3,8,16,15,91,vietnamese,buddhist,socialist,urban,tropical,1,1,88,90,86,south_china_trade,118,textiles,91,5,5,garment_factories|river_port|export_processing_zones,asian_exports:1.35,334
334,are_dubai,Dubai,ARE,ARE,ARE,arabian_gulf,asia,3.6,15,14,26,100,arab,muslim,monarchy,desert,arid,1,1,98,82,95,gulf_trade,170,financial_services,90,4,2,financial_center|luxury_hotels|mega_port,global_trade_hub:1.45,335
335,ita_milan,Milan,ITA,ITA,ITA,northern_italy,europe,8.5,13,19,21,97,italian,christian,democratic,plains,temperate,0,0,94,88,93,europe_trade,142,luxury_goods,92,6,3,fashion_industry|design_centers|financial_services,designer_exports:1.45,336
336,nld_rotterdam,Rotterdam,NLD,NLD,NLD,low_countries,europe,2.5,10,16,24,98,dutch,christian,democratic,coastal,temperate,1,1,100,86,92,north_sea_trade,160,chemicals,88,4,2,petrochemical_complex|mega_port|logistics_hubs,european_gateway:1.4,337
337,aus_pilbara,Pilbara,AUS,AUS,AUS,western_australia,oceania,0.07,5,18,10,42,australian,christian,democratic,desert,arid,1,1,62,70,68,pacific_trade,82,iron,99,3,6,iron_mines|export_terminals|mining_railways,mining_exports:1.5,338
338,zaf_johannesburg,Johannesburg,ZAF,ZAF,ZAF,gauteng,africa,9.6,9,15,14,87,south_african,christian,democratic,plateau,temperate,0,0,84,82,80,africa_trade,105,gold,90,11,6,gold_mines|financial_district|industrial_zones,african_finance:1.3,339
339,nor_north_sea,North Sea Norway,NOR,NOR,NOR,norwegian_sea,europe,1.2,11,24,18,85,norwegian,christian,democratic,coastal,cold,1,1,90,72,88,north_sea_trade,132,oil,94,3,2,offshore_platforms|export_terminals|sovereign_fund,offshore_energy:1.45,340
340,egy_suez,Suez Canal Zone,EGY,EGY,EGY,lower_egypt,africa,7.0,9,11,25,83,arab,muslim,authoritarian,desert,arid,1,1,88,66,81,mediterranean_trade,155,trade_services,89,8,8,canal_ports|logistics_hubs|free_trade_zone,global_shipping:1.5,339
